-9,-35,-245,17848
-46,10,-236,17951
36,32,-301,18054
19,-46,-260,18157
23,-33,-229,18260
49,23,-281,18363
-6,50,-286,18466
-14,16,-245,18569
13,22,-240,18676
-55,-41,-234,18779
128,-96,-233,18882
26,49,-265,18985
16,-18,-235,19088
-35,172,-301,19191
64,-141,-287,19294
-67,-46,-260,19397
50,21,-263,19500
21,22,-251,19603
25,26,-280,19706
29,58,-251,19809
45,-95,-223,19912
13,73,-303,20015
-1,-36,-252,20118
63,-38,-238,20221
65,44,-259,20324
27,4,-255,20427
11,-31,-227,20529
-28,-56,-254,20632
74,21,-291,20735
38,28,-249,20838
85,-38,-220,20941
102,30,-217,21044
34,97,-305,21149
-30,-20,-213,21252
32,-31,-223,21355
35,4,-279,21458
123,-2,-318,21560
-103,13,-229,21667
25,-57,-263,21770
8,57,-238,21873
20,-74,-223,21976
45,25,-253,22079
35,-47,-242,22182
13,24,-248,22285
109,18,-261,22388
-33,-155,-286,22491
42,87,-154,22594
-10,143,-286,22697
6,-175,-364,22800
-60,333,-223,22903
111,-124,-272,23006
-4,-67,-251,23109
43,-20,-254,23212
-2,108,-277,23314
94,-140,-266,23417
35,209,-271,23520
25,86,-277,23623
23,-68,-227,23726
23,34,-263,23829
45,1,-275,23932
-33,-29,-215,24035
32,55,-296,24138
-16,-19,-237,24241
35,25,-250,24344
-10,15,-225,24447
36,57,-294,24550
108,-42,-186,24664
-24,29,-306,24767
49,-27,-215,24870
9,26,-274,24973
52,36,-254,25076
-103,11,-229,25179
172,-60,-302,25282
9,35,-233,25385
67,-46,-242,25488
116,42,-241,25591
-6,-60,-222,25694
8,14,-257,25797
-4,-120,-294,25900
12,5,-220,26003
2,-74,-271,26106
38,82,-216,26209
-8,-46,-263,26312
8,27,-283,26415
13,-56,-250,26518
-5,90,-279,26621
53,-158,-297,26724
-63,310,-290,26827
99,-92,-239,26930
85,147,-254,27033
36,-136,-255,27136
46,188,-351,27239
-65,-144,-221,27342
76,97,-332,27445
38,-53,-250,27553
10,64,-307,27656
40,0,-254,27759
61,3,-255,27862
-28,-25,-209,27965
-24,45,-221,28068
67,-20,-248,28171
53,4,-267,28274
-29,3,-285,28376
40,-26,-255,28479
115,4,-199,28582
-15,120,-310,28684
